layout_max_items,layout_min_item_size_width,layout_min_item_size_height,layout_item_step,layout_item_rotation_increment,layout_resize_type,layout_scale,layout_margin,layout_name,layout_total_threads,layout_latency,layout_search_pattern,layout_canvas_name,layout_canvas_mode,layout_canvas_background_color,layout_canvas_size_width,layout_canvas_size_height,layout_canvas_reservation_map_csv_filepath,layout_contour_mask_image_filepath,layout_contour_width,layout_contour_color,layout_item_filepath,layout_item_position_x,layout_item_position_y,layout_item_size_width,layout_item_size_height,layout_item_rotated_degrees,layout_item_reserved_position_x,layout_item_reserved_position_y,layout_item_reserved_size_width,layout_item_reserved_size_height,layout_item_reservation_no,layout_item_latency,layout_item_type
200,50,50,1,90,MAINTAIN_ASPECT_RATIO,1.0,1,mixeditemcloud-import.layout.maximized,64,000H_00M_09S_926MS,NONE,mixeditemcloud-import.maximized,RGBA,,2814,705,./mixeditem-cloud/mixeditemcloud-import.maximized.reservation_map.1.csv,,0.0,black,./mixeditem-cloud/park_seven.1.csv,700,-1,898,573,0,701,0,896,571,1,000H_00M_00S_001MS,LayoutTextImage
,,,,,,,,,,,,,,,,,,,,,./mixeditem-cloud/2.1.csv,2401,-1,413,706,0,2402,0,411,704,2,000H_00M_00S_023MS,LayoutText
,,,,,,,,,,,,,,,,,,,,,./mixeditem-cloud/10.1.csv,-1,-1,703,227,0,0,0,701,225,3,000H_00M_00S_017MS,LayoutText
,,,,,,,,,,,,,,,,,,,,,./mixeditem-cloud/park_eleven.1.csv,1596,-1,807,706,0,1597,0,805,704,4,000H_00M_05S_178MS,LayoutTextImage
,,,,,,,,,,,,,,,,,,,,,./mixeditem-cloud/5.1.csv,-1,570,396,135,0,0,571,394,133,8,000H_00M_00S_562MS,LayoutText
,,,,,,,,,,,,,,,,,,,,,./mixeditem-cloud/13.1.csv,393,570,1205,135,0,394,571,1203,133,11,000H_00M_02S_565MS,LayoutText
,,,,,,,,,,,,,,,,,,,,,./mixeditem-cloud/15.1.csv,-1,224,703,348,0,0,225,701,346,15,000H_00M_01S_440MS,LayoutText
